Token,Name,Sector,Date,Round,Total Funding,Valuation,Price,MC,FDV,Exchange Amount,Binance,OKX,Coinbase,Bybit,Exchange,Description
,Filebase,,"Apr 30, 2021",Seed,2000000,--,,,,0,0,0,0,0,,Object storage platform powered by decentralized storage networks
,REALY,,"Apr 16, 2021",Seed,--,--,,,,0,0,0,0,0,,Live-to-Earn metaverse on Solana
,Coin98 Finance,,"Apr 14, 2021",Seed,1250000,25000000,,,,0,0,0,0,0,,All In One DeFi Platform
,Enso,,"Apr 13, 2021",Private,5000000,--,,,,0,0,0,0,0,,Universal DeFi dashboard
,Sommelier,,"Mar 10, 2021",--,3500000,--,,,,0,0,0,0,0,,Coprocessor for Ethereum
,Saffron Finance,,"Mar 08, 2021",--,$ Millions,--,,,,0,0,0,0,0,,Decentralised risk exchange protocol
,Oxygen,,"Feb 24, 2021",--,40000000,--,,,,0,0,0,0,0,,DeFi prime brokerage service
,Manta Network,,"Feb 02, 2021",--,1100000,--,,,,0,0,0,0,0,,Multi-modular ecosystem for ZK applications
,Furucombo,,"Jan 07, 2021",Seed,1850000,9500000,,,,0,0,0,0,0,,DeFi portal to help users optimzie DeFi strategy
,MathWallet,,"Oct 13, 2020",Series A1,7800000,--,,,,0,0,0,0,0,,The Multichain Wallet for Web3
,Stella,,"Oct 06, 2020",--,1670000,12500000,,,,0,0,0,0,0,,One-stop site for builders to start Web3 projects
,Braintrust,,"Oct 02, 2020",--,18000000,--,,,,0,0,0,0,0,,Decentralized Talent Network
,Perpetual Protocol,,"Aug 25, 2020",--,1800000,12000000,,,,0,0,0,0,0,,Decentralized perpetual contract protocol
,Audius,,"Jul 31, 2020",Strategic,3100000,--,,,,0,0,0,0,0,,Decentralized music streaming protocol
,Serum,,"Jul 30, 2020",Private,20000000,--,,,,0,0,0,0,0,,Decentralized Exchange built on Solana
,The Graph,,"Jun 30, 2020",Series A,5000000,29400000,,,,0,0,0,0,0,,Decentralized protocol for indexing and querying blockchain data
,dForce,,"Apr 15, 2020",--,1500000,--,,,,0,0,0,0,0,,A complete set of decentralized finance protocols
,Arweave,,"Nov 05, 2019",--,5000000,--,,,,0,0,0,0,0,,Decentralized Data Storage Protocol
,Nervos Network,,"Oct 24, 2019",Public Sale,72000000,--,,,,0,0,0,0,0,,Layer1 public chain ecosystem based on PoW consensus
,SKALE,,"Oct 01, 2019",--,17100000,--,,,,0,0,0,0,0,,"Ethereum native, modular blockchain network"
,NEAR Protocol,,"Jul 10, 2019",--,12100000,--,,,,0,0,0,0,0,,Layer-one blockchain
,StreamingFast,,"Jun 26, 2019",Seed,3500000,--,,,,0,0,0,0,0,,Building massively scalable architecture for streaming blockchain data
,Spring Labs,,"Jun 12, 2019",Series A,23000000,--,,,,0,0,0,0,0,,Financial technology company
,Tagomi,,"Mar 05, 2019",--,12000000,--,,,,0,0,0,0,0,,Crypto prime brokerage platform
,StarkNet,,"Oct 29, 2018",Series A,30000000,--,,,,0,0,0,0,0,,decentralized ZK-Rollup
,Algorand,,"Oct 24, 2018",--,62000000,--,,,,0,0,0,0,0,,Decentralized blockchain infrastructure
,Internet Computer / Dfinity,,"Aug 28, 2018",--,102000000,2000000000,,,,0,0,0,0,0,,Open-source blockchain network
,Tari,,"May 13, 2018",--,--,--,,,,0,0,0,0,0,,Digital assets focused blockchain protocol
,Kadena,,"Apr 12, 2018",Series B,12000000,--,,,,0,0,0,0,0,,Layer1 Blockchain with PoW as the consensus
,Lido,,,,,,,,,0,0,0,0,0,,Liquid staking solution
,Frax,,,,,,,,,0,0,0,0,0,,Stablecoin Protocol
,Paxos,,,,,,,,,0,0,0,0,0,,Regulated blockchain infrastructure
,THORChain,,,,,,,,,0,0,0,0,0,,Decentralized Liquidity Network
,Bakkt,,,,,,,,,0,0,0,0,0,,Digital asset platform
,Mina,,,,,,,,,0,0,0,0,0,,Lightweight Blockchain
,Livepeer,,,,,,,,,0,0,0,0,0,,Decentralized video streaming network
,DFlow,,,,,,,,,0,0,0,0,0,,Decentralized order flow marketplace
,Genies,,,,,,,,,0,0,0,0,0,,Avatar technology company
,MobileCoin,,,,,,,,,0,0,0,0,0,,A private cryptocurrency
,Flow,,,,,,,,,0,0,0,0,0,,"Decentralized, and developer-friendly blockchain"
,FanTiger,,,,,,,,,0,0,0,0,0,,Music NFT Marketplace
,Cabin,,,,,,,,,0,0,0,0,0,,An emerging network city for solarpunk builders
,Salad Ventures,,,,,,,,,0,0,0,0,0,,P2E ecosystem catalyst and builders
,Keep Network,,,,,,,,,0,0,0,0,0,,Privacy-centric public chain infrastructure
,Grapes Finance,,,,,,,,,0,0,0,0,0,,Payments infrastructure powered by digital currencies
,dClimate,,,,,,,,,0,0,0,0,0,,Decentralized Network for Climate Data
,The Giving Block,,,,,,,,,0,0,0,0,0,,Fundraising Agreements Serving Nonprofits
,hawku,,,,,,,,,0,0,0,0,0,,Marketplace for utility and gaming NFTs
,Babel Finance,,,,,,,,,0,0,0,0,0,,Cryptocurrency financial institution
